simulation_id,step,self_consistency,agency,self_recognition,memory_count,fear,joy,pride,stress,mirroring,successful_imitations,steps_to_recognition
0,0,0.6853,0.4290,0.3005,1.0000,0.1126,0.2622,0.2609,0.1046,0.2000,0.0000,7
0,50,0.9038,0.9853,0.7068,51.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
0,100,0.9098,0.9949,0.7175,101.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
0,150,0.9003,0.9867,0.7192,151.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
0,200,0.9034,0.9819,0.7145,201.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
0,250,0.9103,0.9888,0.7058,251.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
0,300,0.8893,0.9720,0.6672,301.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
0,350,0.9028,0.9933,0.7042,351.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
0,400,0.9087,0.9898,0.7175,401.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
0,450,0.9071,0.9894,0.7411,451.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
0,500,0.8924,0.9823,0.6971,501.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
0,550,0.8988,0.9953,0.7059,551.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
0,600,0.9280,0.9959,0.7160,601.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
0,650,0.8933,0.9767,0.7308,651.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
0,700,0.9006,0.9867,0.6974,701.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
0,750,0.9058,0.9839,0.6865,751.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
0,800,0.9262,0.9967,0.7109,801.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
0,850,0.9129,0.9822,0.6859,851.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
0,900,0.9052,0.9854,0.7256,901.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
0,950,0.8964,0.9844,0.7057,951.0000,0.0000,0.2622,1.0000,0.1046,0.2000,0.0000,7
1,0,0.6973,0.4283,0.2762,1.0000,0.0381,0.1056,0.1764,0.1197,0.2000,0.0000,3
1,50,0.8769,0.9761,0.7064,51.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
1,100,0.8883,0.9863,0.6844,101.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
1,150,0.8895,0.9835,0.6957,151.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
1,200,0.8831,0.9880,0.7000,201.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
1,250,0.9158,0.9999,0.7110,251.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
1,300,0.9018,0.9992,0.7210,301.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
1,350,0.9101,0.9828,0.7148,351.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
1,400,0.8752,0.9885,0.7207,401.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
1,450,0.9070,0.9857,0.7160,451.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
1,500,0.8983,0.9879,0.6956,501.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
1,550,0.8979,0.9886,0.6796,551.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
1,600,0.9049,0.9872,0.7110,601.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
1,650,0.9007,0.9870,0.7109,651.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
1,700,0.9357,0.9910,0.7016,701.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
1,750,0.9076,0.9960,0.7064,751.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
1,800,0.8850,0.9918,0.7202,801.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
1,850,0.8846,0.9973,0.7032,851.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
1,900,0.9037,0.9789,0.7381,901.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
1,950,0.8698,0.9888,0.7256,951.0000,0.0000,0.1056,1.0000,0.1197,0.2000,0.0000,3
2,0,0.6996,0.3777,0.3053,1.0000,0.1187,0.1508,0.1137,0.0890,0.2000,0.0000,11
2,50,0.8919,0.7440,0.6434,51.0000,0.0220,0.1508,0.6554,0.0890,0.2000,0.0000,11
2,100,0.9190,0.8573,0.6874,101.0000,0.0132,0.1508,0.8293,0.0890,0.2000,0.0000,11
2,150,0.9089,0.9885,0.7240,151.0000,0.0000,0.1508,1.0000,0.0890,0.2000,0.0000,11
2,200,0.8915,0.9899,0.7035,201.0000,0.0000,0.1508,1.0000,0.0890,0.2000,0.0000,11
2,250,0.8814,0.9877,0.7033,251.0000,0.0000,0.1508,1.0000,0.0890,0.2000,0.0000,11
2,300,0.8993,0.9904,0.6965,301.0000,0.0000,0.1508,1.0000,0.0890,0.2000,0.0000,11
